Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/20 16:00,805,730.7272727272727,310.8474238542556,298.33504127526334,196.31483062909194,22.07159123256476,17.94819242812411
10/20 16:20,805,743.3125,308.89580359691695,293.3576934056523,175.78732514987155,21.927918926634312,17.96660005709392
10/20 16:40,805,749.2,308.2845022624434,287.09615384615387,172.49010180995475,21.884615384615383,18.180712669683256
10/20 17:00,805,757.7333333333333,304.8057493720346,282.55986603404966,180.7432319285515,21.887245325146527,18.134803237510464
10/20 17:20,805,760.8125,305.38628354567635,277.7975060992139,177.94876660341555,21.822174030902683,18.175386283545677
10/20 17:40,805,771.1111111111111,303.0644095788604,274.41178089733,173.68345719790807,21.827552986512526,18.25736306083127
10/20 18:00,805,769.5714285714286,303.3188048245614,270.608826754386,164.32264254385964,21.896655701754387,18.193530701754387
10/20 18:20,805,769.3888888888889,302.5723951285521,268.85683355886334,170.2941813261164,21.891474966170502,18.16887686062246
10/20 18:40,805,778.0769230769231,302.9336258913878,264.8187054306089,157.72380691168405,21.87328579264948,17.597092704333516
10/20 19:00,805,780.9,304.0469416785206,262.2699857752489,151.99317211948792,21.761593172119486,17.51863442389758
10/20 19:20,805,783.7692307692307,304.1613941018767,259.5680965147453,163.4667560321716,21.82171581769437,18.00750670241287
10/20 19:40,805,785.8181818181819,300.08813654169,257.5402909904868,135.93144935646333,21.758813654169,18.286793508673753
10/20 20:00,805,788.7777777777778,303.2448295136948,256.3921185019564,141.04332029066518,21.7230296254891,17.71939631078815
10/20 20:20,805,790.1666666666666,299.741452991453,254.14476495726495,149.63915598290598,21.631143162393162,17.831463675213676
10/20 20:40,805,794.7272727272727,300.51878256100906,252.8700301617768,138.63888127227858,21.706059775157662,17.676994790238552
10/20 21:00,805,796,296.8591210114389,250.71011438892234,110.29229379891632,21.715532811559303,18.904575556893437
10/20 21:20,805,795.4,294.60969084423306,250.37752675386446,116.81093935790726,21.690695600475625,20.085017835909632
10/20 21:40,805,794.2857142857143,297.2883031301483,248.72130697419,160.05436573311368,21.756864360241625,19.753432180120814
10/20 22:00,805,805,297.15258939580764,244.69327990135636,123.27281134401973,21.86698520345253,6.717016029593095
10/20 22:20,805,805,290.7119122257053,247.08495297805644,113.91222570532915,21.75266457680251,7.089028213166144
10/20 22:40,805,805,292.5290716350787,245.75971731448763,116.64150337295213,21.757629296498553,7.436877610022487
