floor,zone,time,type,value,plotx,ploty
1,2,2018-12-04 14:10:06,ultraSound,248.0,1,2
1,2,2018-12-04 14:09:57,Temperature,23.0,1,2
1,2,2018-12-04 14:09:37,Humidity,20.0,1,2
1,2,2018-12-04 14:10:19,Sound,316.0,1,2
1,2,2018-12-04 14:10:27,Light,367.0,1,2
2,2,2018-12-04 14:09:43,ultraSound,249.0,2,2
2,2,2018-12-04 14:10:19,Temperature,26.0,2,2
2,2,2018-12-04 14:09:38,Humidity,11.0,2,2
2,2,2018-12-04 14:10:27,Sound,316.0,2,2
2,2,2018-12-04 14:10:21,Light,301.0,2,2
0,8,2018-12-04 14:09:55,ultraSound,251.0,100,50
0,8,2018-12-04 14:09:52,Temperature,23.0,100,50
0,8,2018-12-04 14:10:15,Humidity,0.0,100,50
0,8,2018-12-04 14:09:33,Sound,250.0,100,50
0,8,2018-12-04 14:10:22,Light,357.0,100,50
1,7,2018-12-04 14:10:05,ultraSound,248.0,1,7
1,7,2018-12-04 14:09:35,Temperature,25.0,1,7
1,7,2018-12-04 14:10:00,Humidity,0.0,1,7
1,7,2018-12-04 14:09:54,Sound,327.0,1,7
1,7,2018-12-04 14:10:22,Light,395.0,1,7
2,1,2018-12-04 14:09:48,ultraSound,250.0,2,1
2,1,2018-12-04 14:09:38,Temperature,25.0,2,1
2,1,2018-12-04 14:10:01,Humidity,0.0,2,1
2,1,2018-12-04 14:09:36,Sound,342.0,2,1
2,1,2018-12-04 14:10:26,Light,563.0,2,1
0,6,2018-12-04 14:10:18,ultraSound,249.0,300,50
0,6,2018-12-04 14:10:23,Temperature,22.0,300,50
0,6,2018-12-04 14:10:10,Humidity,12.0,300,50
0,6,2018-12-04 14:09:46,Sound,281.0,300,50
0,6,2018-12-04 14:10:28,Light,359.0,300,50
1,4,2018-12-04 14:10:08,ultraSound,248.0,1,4
1,4,2018-12-04 14:10:20,Temperature,23.0,1,4
1,4,2018-12-04 14:09:25,Humidity,14.0,1,4
1,4,2018-12-04 14:10:04,Sound,337.0,1,4
1,4,2018-12-04 14:10:22,Light,437.0,1,4
0,7,2018-12-04 14:09:58,ultraSound,248.0,200,50
0,7,2018-12-04 14:10:03,Temperature,24.0,200,50
0,7,2018-12-04 14:09:50,Humidity,21.0,200,50
0,7,2018-12-04 14:10:15,Sound,212.0,200,50
0,7,2018-12-04 14:10:26,Light,194.0,200,50
1,10,2018-12-04 14:09:27,ultraSound,249.0,1,10
1,10,2018-12-04 14:10:07,Temperature,24.0,1,10
1,10,2018-12-04 14:10:08,Humidity,23.0,1,10
1,10,2018-12-04 14:10:22,Sound,319.0,1,10
1,10,2018-12-04 14:10:16,Light,235.0,1,10
2,3,2018-12-04 14:09:27,ultraSound,251.0,2,3
2,3,2018-12-04 14:09:31,Temperature,25.0,2,3
2,3,2018-12-04 14:10:25,Humidity,0.0,2,3
2,3,2018-12-04 14:10:11,Sound,322.0,2,3
2,3,2018-12-04 14:10:26,Light,297.0,2,3
2,6,2018-12-04 14:09:24,ultraSound,250.0,2,6
2,6,2018-12-04 14:09:40,Temperature,24.0,2,6
2,6,2018-12-04 14:10:23,Humidity,31.0,2,6
2,6,2018-12-04 14:10:23,Sound,275.0,2,6
2,6,2018-12-04 14:10:24,Light,249.0,2,6
0,2,2018-12-04 14:09:44,ultraSound,249.0,200,150
0,2,2018-12-04 14:09:52,Temperature,20.0,200,150
0,2,2018-12-04 14:09:32,Humidity,14.0,200,150
0,2,2018-12-04 14:09:36,Sound,345.0,200,150
0,2,2018-12-04 14:10:22,Light,341.0,200,150
1,9,2018-12-04 14:09:55,ultraSound,247.0,1,9
1,9,2018-12-04 14:10:17,Temperature,25.0,1,9
1,9,2018-12-04 14:09:33,Humidity,10.0,1,9
1,9,2018-12-04 14:09:33,Sound,334.0,1,9
1,9,2018-12-04 14:10:05,Light,360.0,1,9
2,8,2018-12-04 14:09:34,ultraSound,249.0,2,8
2,8,2018-12-04 14:10:10,Temperature,24.0,2,8
2,8,2018-12-04 14:10:11,Humidity,12.0,2,8
2,8,2018-12-04 14:09:37,Sound,311.0,2,8
2,8,2018-12-04 14:10:16,Light,358.0,2,8
0,0,2018-12-04 14:10:25,available seats,290.0,0,150
0,0,2018-12-04 14:10:25,max available seats,805.0,0,150
